 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 267-459-463
[2019-03-28 09:44:59,156] INFO in app: IM A PICKLEEEEEEE
[2019-03-28 09:44:59,253] INFO in functions: CHECKING NAMESPACE atlassian
[2019-03-28 09:44:59,321] INFO in functions: Namespace atlassian, confluence-744cdf965f-8ptdn
[2019-03-28 09:44:59,321] INFO in functions: Namespace atlassian, confluence-postgres-567f69d5cf-p5hhn
[2019-03-28 09:44:59,321] INFO in functions: Namespace atlassian, confluence-postgres-backup-1553567460-wq6wq
[2019-03-28 09:44:59,321] INFO in functions: Namespace atlassian, confluence-postgres-backup-1553653860-bjgq6
[2019-03-28 09:44:59,321] INFO in functions: Namespace atlassian, confluence-postgres-backup-1553740260-vkx96
[2019-03-28 09:44:59,322] INFO in functions: Namespace atlassian, vger-6bc7c4b56f-xldxv
[2019-03-28 09:44:59,322] INFO in functions: CHECKING NAMESPACE atlassian-jira
[2019-03-28 09:44:59,388] INFO in functions: Namespace atlassian-jira, atlassian-jira-postgres-backup-1553571060-h9ckf
[2019-03-28 09:44:59,388] INFO in functions: Namespace atlassian-jira, atlassian-jira-postgres-backup-1553657460-vxs9n
[2019-03-28 09:44:59,388] INFO in functions: Namespace atlassian-jira, atlassian-jira-postgres-backup-1553743860-g6b9w
[2019-03-28 09:44:59,388] INFO in functions: Namespace atlassian-jira, jira-0
[2019-03-28 09:44:59,389] INFO in functions: Namespace atlassian-jira, postgres-jira-0
[2019-03-28 09:44:59,389] INFO in functions: CHECKING NAMESPACE daily
[2019-03-28 09:44:59,566] INFO in functions: Namespace daily, bash-55d87f44f5-r9jbm
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, elasticsearch-79cb5969d7-jw6mf
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, grafana-7f85b78574-pmp4p
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, grafana-daily-68f488ff89-24kzs
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, graylog-646d8bc484-2pcpq
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, kaveman-7fcfbbb679-vc4nb
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, kibana-6f646fd56d-pw4sn
[2019-03-28 09:44:59,567] INFO in functions: Namespace daily, lemur-866695dbc6-d79kt
[2019-03-28 09:44:59,568] INFO in functions: Namespace daily, mailhog-7b65f589f5-48zb6
[2019-03-28 09:44:59,568] INFO in functions: Namespace daily, matomo-75d9b456bd-trjxt
[2019-03-28 09:44:59,568] INFO in functions: Namespace daily, matomo-mysql-5f69989499-ttg9s
[2019-03-28 09:44:59,568] INFO in functions: Namespace daily, metro-7c99577b46-pvfrt
